"report-def-0-rfile"
"Iteration" "report-def-0"
("Iteration" "report-def-0")
1 197.6889956711219
2 118.357776646606
3 149.7556796236373
4 159.3929455291765
5 165.2191211676238
6 166.3691915543999
7 165.9081929431224
8 163.6773604211551
9 157.3751963823765
10 140.453316223461
11 119.0126960623737
12 95.69834901433946
13 89.02953471971537
14 93.13825672733303
15 106.5920258391128
16 130.2614231295153
17 151.3665412166422
18 175.7784017095574
19 232.1588418115253
20 257.9090170116488
21 321.0882153518203
22 329.2217940201916
23 316.9697485202923
24 312.8255000122345
25 311.9631860599693
26 295.6108301746868
27 268.0584473453128
28 250.4345295981483
29 237.1626882057199
30 223.8596707512007
31 214.4618064495867
32 208.7721991243754
33 204.6646442377851
34 201.2998936052178
35 198.5569404020278
36 196.3419808044979
37 194.5305363054568
38 193.0594609225596
39 191.8684421994645
40 190.9144804589296
41 190.1519478301527
42 189.5518646673598
43 189.0894940372343
44 188.7444282685562
45 188.4973582857569
46 188.3312960745746
47 188.230893340661
48 188.183507504076
49 188.1787993044454
50 188.2078032050707
51 188.263726753937
52 188.3405018914968
53 188.4329104981254
54 188.5364569540906
55 188.6471826968317
