Velocity,AoA,F_D,F_L
40,-5,0.59705157,-3.6561756
65,-5,1.4116344,-9.3498594
90,-5,2.5345682,-17.641487
200,-5,10.880636,-86.619293
40,0,0.42433214,7.6121242
65,0,1.0082737,21.042634
90,0,1.79002,41.477979
200,0,7.4873079,212.4429
40,5,0.62374306,19.483499
65,5,1.462857,52.449445
90,5,2.6047205,102.09249
200,5,10.908261,520.58145
40,10,1.2857828,28.362789
65,10,3.1198971,76.511218
90,10,5.7067048,147.62514
200,10,25.318919,744.05361
40,12,1.7692086,30.717032
65,12,4.3275091,82.491253
90,12,7.9452878,159.22649
200,12,36.032525,793.57223
40,15,3.064584,32.394811
65,15,7.6287564,86.07104
90,15,14.16457,165.10086
200,15,65.80326,814.25409
40,17,4.8194551,31.796622
65,17,12.254819,84.407336
90,17,22.9695,162.09677
200,17,110.01944,797.46869
40,20,7.908442,35.016163
65,20,20.367397,92.593726
90,20,38.477717,177.31322
200,20,188.64085,865.83845
