Velocity [MPH],Angle of Attack,Port Number,Distance [m],Pressure AVG
40,0,1,0,101322.5083
40,0,2,0.004445,100858.2893
40,0,3,0.00889,100845.9875
40,0,4,0.01778,100858.2893
40,0,5,0.02667,100885.463
40,0,6,0.03556,100916.3743
40,0,7,0.04445,100901.6593
40,0,8,0.05334,100926.1843
40,0,9,0.06223,100997.8954
40,0,10,0.07112,100988.0854
40,0,11,0.004445,101021.4884
40,0,12,0.00889,101068.6745
40,0,13,0.01778,101058.8645
40,0,14,0.02667,101058.8645
40,0,15,0.03556,101053.9595
40,0,16,0.04445,101053.9595
40,0,17,0.05334,101037.9202
40,0,18,0.06223,101042.1875
40,5,1,0,101290.665
40,5,2,0.004445,100774.9043
40,5,3,0.00889,100769.6069
40,5,4,0.01778,100809.2393
40,5,5,0.02667,100831.508
40,5,6,0.03556,100897.9217
40,5,7,0.04445,100897.9217
40,5,8,0.05334,100922.4467
40,5,9,0.06223,100971.8891
40,5,10,0.07112,101070.3815
40,5,11,0.004445,101077.9352
40,5,12,0.00889,101093.0426
40,5,13,0.01778,101095.6913
40,5,14,0.02667,101083.2326
40,5,15,0.03556,101070.7739
40,5,16,0.04445,101070.7739
40,5,17,0.05334,101043.6002
40,5,18,0.06223,100807.5716
40,10,1,0,100694.3151
40,10,2,0.004445,100552.2173
40,10,3,0.00889,100625.0957
40,10,4,0.01778,100700.3875
40,10,5,0.02667,100803.0099
40,10,6,0.03556,100876.9773
40,10,7,0.04445,100922.8391
40,10,8,0.05334,100916.2173
40,10,9,0.06223,100971.8891
40,10,10,0.07112,101262.7065
40,10,11,0.004445,101229.3035
40,10,12,0.00889,101179.8611
40,10,13,0.01778,101144.0447
40,10,14,0.02667,101119.2843
40,10,15,0.03556,101114.3793
40,10,16,0.04445,101065.8689
40,10,17,0.05334,101068.5176
40,10,18,0.06223,100868.3936
40,15,1,0,100557.9071
40,15,2,0.004445,100549.5686
40,15,3,0.00889,100718.9137
40,15,4,0.01778,100804.0154
40,15,5,0.02667,100860.5456
40,15,6,0.03556,100912.1707
40,15,7,0.04445,100922.8391
40,15,8,0.05334,100896.5973
40,15,9,0.06223,100937.5541
40,15,10,0.07112,101289.4878
40,15,11,0.004445,101115.8508
40,15,12,0.00889,101179.8611
40,15,13,0.01778,101154.4777
40,15,14,0.02667,101119.2843
40,15,15,0.03556,101114.3793
40,15,16,0.04445,101078.3276
40,15,17,0.05334,101080.0443
40,15,18,0.06223,100922.3486
40,20,1,0,101050.0748
40,20,2,0.004445,100969.878
40,20,3,0.00889,100974.783
40,20,4,0.01778,100979.688
40,20,5,0.02667,100969.878
40,20,6,0.03556,100984.593
40,20,7,0.04445,100974.783
40,20,8,0.05334,100984.593
40,20,9,0.06223,101046.8865
40,20,10,0.07112,101202.1298
40,20,11,0.004445,101156.268
40,20,12,0.00889,101126.838
40,20,13,0.01778,101066.2613
40,20,14,0.02667,101041.7363
40,20,15,0.03556,101036.8313
40,20,16,0.04445,101031.9263
40,20,17,0.05334,100976.2545
40,20,18,0.06223,100926.714
45,0,1,0,100870.3065
45,0,2,0.004445,100295.6858
45,0,3,0.00889,100255.5874
45,0,4,0.01778,100310.4008
45,0,5,0.02667,100345.5941
45,0,6,0.03556,100366.0725
45,0,7,0.04445,100361.1675
45,0,8,0.05334,100390.5975
45,0,9,0.06223,100487.226
45,0,10,0.07112,100437.3176
45,0,11,0.004445,100447.986
45,0,12,0.00889,100542.8978
45,0,13,0.01778,100533.0878
45,0,14,0.02667,100512.6094
45,0,15,0.03556,100527.3244
45,0,16,0.04445,100502.7994
45,0,17,0.05334,100492.131
45,0,18,0.06223,100535.1724
45,5,1,0,100678.7663
45,5,2,0.004445,100048.4738
45,5,3,0.00889,100129.5289
45,5,4,0.01778,100199.9156
45,5,5,0.02667,100209.7256
45,5,6,0.03556,100351.3575
45,5,7,0.04445,100361.1675
45,5,8,0.05334,100446.2693
45,5,9,0.06223,100487.226
45,5,10,0.07112,100679.6246
45,5,11,0.004445,100638.6679
45,5,12,0.00889,100623.9529
45,5,13,0.01778,100598.5695
45,5,14,0.02667,100573.1861
45,5,15,0.03556,100582.9961
45,5,16,0.04445,100573.1861
45,5,17,0.05334,100558.4711
45,5,18,0.06223,100462.2105
45,10,1,0,100078.7621
45,10,2,0.004445,99871.6485
45,10,3,0.00889,99968.277
45,10,4,0.01778,100128.6705
45,10,5,0.02667,100255.5874
45,10,6,0.03556,100361.1675
45,10,7,0.04445,100396.3609
45,10,8,0.05334,100461.8426
45,10,9,0.06223,100542.8978
45,10,10,0.07112,100850.6865
45,10,11,0.004445,100795.0148
45,10,12,0.00889,100739.343
45,10,13,0.01778,100704.1496
45,10,14,0.02667,100678.7663
45,10,15,0.03556,100664.0513
45,10,16,0.04445,100639.5263
45,10,17,0.05334,100623.9529
45,10,18,0.06223,100371.9585
45,15,1,0,99785.68838
45,15,2,0.004445,99962.51363
45,15,3,0.00889,100260.4924
45,15,4,0.01778,100386.5509
45,15,5,0.02667,100416.8393
45,15,6,0.03556,100421.7443
45,15,7,0.04445,100411.9343
45,15,8,0.05334,100447.1276
45,15,9,0.06223,100456.9376
45,15,10,0.07112,100865.4015
45,15,11,0.004445,100830.2081
45,15,12,0.00889,100764.7264
45,15,13,0.01778,100734.438
45,15,14,0.02667,100664.0513
45,15,15,0.03556,100664.0513
45,15,16,0.04445,100638.6679
45,15,17,0.05334,100587.9011
45,15,18,0.06223,99760.305
45,20,1,0,100478.2744
45,20,2,0.004445,100352.2159
45,20,3,0.00889,100357.1209
45,20,4,0.01778,100377.5993
45,20,5,0.02667,100372.6943
45,20,6,0.03556,100377.5993
45,20,7,0.04445,100367.7893
45,20,8,0.05334,100367.7893
45,20,9,0.06223,100367.7893
45,20,10,0.07112,100831.0665
45,20,11,0.004445,100795.8731
45,20,12,0.00889,100741.0598
45,20,13,0.01778,100690.293
45,20,14,0.02667,100645.2896
45,20,15,0.03556,100615.0013
45,20,16,0.04445,100589.6179
45,20,17,0.05334,100538.8511
45,20,18,0.06223,100353.1969
50,0,1,0,101315.19
50,0,2,0.004445,100540.2
50,0,3,0.00889,100461.72
50,0,4,0.01778,100536.93
50,0,5,0.02667,100576.17
50,0,6,0.03556,100605.6
50,0,7,0.04445,100625.22
50,0,8,0.05334,100690.62
50,0,9,0.06223,100788.72
50,0,10,0.07112,100723.32
50,0,11,0.004445,100772.37
50,0,12,0.00889,100837.77
50,0,13,0.01778,100834.5
50,0,14,0.02667,100818.15
50,0,15,0.03556,100821.42
50,0,16,0.04445,100818.15
50,0,17,0.05334,100795.26
50,0,18,0.06223,100543.47
50,5,1,0,100958.76
50,5,2,0.004445,100213.2
50,5,3,0.00889,100288.41
50,5,4,0.01778,100370.16
50,5,5,0.02667,100412.67
50,5,6,0.03556,100589.25
50,5,7,0.04445,100615.41
50,5,8,0.05334,100713.51
50,5,9,0.06223,100775.64
50,5,10,0.07112,101011.08
50,5,11,0.004445,100994.73
50,5,12,0.00889,100968.57
50,5,13,0.01778,100926.06
50,5,14,0.02667,100912.98
50,5,15,0.03556,100906.44
50,5,16,0.04445,100880.28
50,5,17,0.05334,100870.47
50,5,18,0.06223,100330.92
50,10,1,0,100232.82
50,10,2,0.004445,99954.87
50,10,3,0.00889,100095.48
50,10,4,0.01778,100255.71
50,10,5,0.02667,100419.21
50,10,6,0.03556,100533.66
50,10,7,0.04445,100605.6
50,10,8,0.05334,100690.62
50,10,9,0.06223,100775.64
50,10,10,0.07112,101164.77
50,10,11,0.004445,101105.91
50,10,12,0.00889,101030.7
50,10,13,0.01778,100984.92
50,10,14,0.02667,100958.76
50,10,15,0.03556,100932.6
50,10,16,0.04445,100912.98
50,10,17,0.05334,100880.28
50,10,18,0.06223,99971.22
50,15,1,0,99974.49
50,15,2,0.004445,100069.32
50,15,3,0.00889,100373.43
50,15,4,0.01778,100530.39
50,15,5,0.02667,100589.25
50,15,6,0.03556,100635.03
50,15,7,0.04445,100651.38
50,15,8,0.05334,100710.24
50,15,9,0.06223,100736.4
50,15,10,0.07112,101207.28
50,15,11,0.004445,101154.96
50,15,12,0.00889,101069.94
50,15,13,0.01778,101024.16
50,15,14,0.02667,100981.65
50,15,15,0.03556,100952.22
50,15,16,0.04445,100932.6
50,15,17,0.05334,100886.82
50,15,18,0.06223,99882.93
50,20,1,0,100229.55
50,20,2,0.004445,100200.12
50,20,3,0.00889,100337.46
50,20,4,0.01778,100412.67
50,20,5,0.02667,100412.67
50,20,6,0.03556,100419.21
50,20,7,0.04445,100402.86
50,20,8,0.05334,100409.4
50,20,9,0.06223,100409.4
50,20,10,0.07112,100984.92
50,20,11,0.004445,100932.6
50,20,12,0.00889,100854.12
50,20,13,0.01778,100801.8
50,20,14,0.02667,100739.67
50,20,15,0.03556,100716.78
50,20,16,0.04445,100687.35
50,20,17,0.05334,100625.22
50,20,18,0.06223,99843.69
55,0,1,0,100234.8638
55,0,2,0.004445,99876.67613
55,0,3,0.00889,99876.67613
55,0,4,0.01778,99923.39625
55,0,5,0.02667,100375.0241
55,0,6,0.03556,100016.8365
55,0,7,0.04445,100079.13
55,0,8,0.05334,100094.7034
55,0,9,0.06223,100110.2768
55,0,10,0.07112,100156.9969
55,0,11,0.004445,100172.5703
55,0,12,0.00889,100188.1436
55,0,13,0.01778,100188.1436
55,0,14,0.02667,100188.1436
55,0,15,0.03556,99970.11638
55,0,16,0.04445,99985.68975
55,0,17,0.05334,100001.2631
55,0,18,0.06223,99907.82288
55,5,1,0,100079.13
55,5,2,0.004445,99736.51575
55,5,3,0.00889,99767.6625
55,5,4,0.01778,99829.956
55,5,5,0.02667,100203.717
55,5,6,0.03556,100795.5053
55,5,7,0.04445,100795.5053
55,5,8,0.05334,100811.0786
55,5,9,0.06223,100811.0786
55,5,10,0.07112,100421.7443
55,5,11,0.004445,100904.5189
55,5,12,0.00889,100842.2254
55,5,13,0.01778,100842.2254
55,5,14,0.02667,100826.652
55,5,15,0.03556,100826.652
55,5,16,0.04445,100826.652
55,5,17,0.05334,100826.652
55,5,18,0.06223,100670.9183
55,10,1,0,100484.0378
55,10,2,0.004445,100546.3313
55,10,3,0.00889,100593.0514
55,10,4,0.01778,100670.9183
55,10,5,0.02667,100702.065
55,10,6,0.03556,100779.9319
55,10,7,0.04445,100764.3585
55,10,8,0.05334,100779.9319
55,10,9,0.06223,100779.9319
55,10,10,0.07112,100624.1981
55,10,11,0.004445,100063.5566
55,10,12,0.00889,100156.9969
55,10,13,0.01778,100141.4235
55,10,14,0.02667,100141.4235
55,10,15,0.03556,100561.9046
55,10,16,0.04445,100172.5703
55,10,17,0.05334,100234.8638
55,10,18,0.06223,99798.80925
55,15,1,0,99689.79563
55,15,2,0.004445,99845.52938
55,15,3,0.00889,100001.2631
55,15,4,0.01778,100063.5566
55,15,5,0.02667,100063.5566
55,15,6,0.03556,100094.7034
55,15,7,0.04445,99876.67613
55,15,8,0.05334,99892.2495
55,15,9,0.06223,99907.82288
55,15,10,0.07112,100219.2904
55,15,11,0.004445,100234.8638
55,15,12,0.00889,100219.2904
55,15,13,0.01778,100234.8638
55,15,14,0.02667,100234.8638
55,15,15,0.03556,100546.3313
55,15,16,0.04445,101075.826
55,15,17,0.05334,101075.826
55,15,18,0.06223,100499.6111
55,20,1,0,100935.6656
55,20,2,0.004445,100421.7443
55,20,3,0.00889,100842.2254
55,20,4,0.01778,100779.9319
55,20,5,0.02667,100779.9319
55,20,6,0.03556,100764.3585
55,20,7,0.04445,100764.3585
55,20,8,0.05334,100764.3585
55,20,9,0.06223,100764.3585
55,20,10,0.07112,101044.6793
55,20,11,0.004445,100982.3858
55,20,12,0.00889,101169.2663
55,20,13,0.01778,101153.6929
55,20,14,0.02667,101106.9728
55,20,15,0.03556,101075.826
55,20,16,0.04445,101029.1059
55,20,17,0.05334,100951.239
55,20,18,0.06223,100593.0514
60,0,1,0,101087.925
60,0,2,0.004445,100191.945
60,0,3,0.00889,100147.8
60,0,4,0.01778,100191.1275
60,0,5,0.02667,100238.5425
60,0,6,0.03556,100299.0375
60,0,7,0.04445,100339.9125
60,0,8,0.05334,100443.735
60,0,9,0.06223,100536.1125
60,0,10,0.07112,100470.7125
60,0,11,0.004445,100551.645
60,0,12,0.00889,100630.125
60,0,13,0.01778,100633.395
60,0,14,0.02667,100603.965
60,0,15,0.03556,100604.7825
60,0,16,0.04445,100636.665
60,0,17,0.05334,100602.33
60,0,18,0.06223,99896.8275
60,5,1,0,100756.8375
60,5,2,0.004445,99860.04
60,5,3,0.00889,99931.1625
60,5,4,0.01778,100022.7225
60,5,5,0.02667,100100.385
60,5,6,0.03556,100290.045
60,5,7,0.04445,100360.35
60,5,8,0.05334,100434.7425
60,5,9,0.06223,100542.6525
60,5,10,0.07112,100800.165
60,5,11,0.004445,100796.895
60,5,12,0.00889,100759.29
60,5,13,0.01778,100746.21
60,5,14,0.02667,100684.8975
60,5,15,0.03556,100697.9775
60,5,16,0.04445,100697.9775
60,5,17,0.05334,100637.4825
60,5,18,0.06223,99572.28
60,10,1,0,99884.565
60,10,2,0.004445,99565.74
60,10,3,0.00889,99725.1525
60,10,4,0.01778,99999.015
60,10,5,0.02667,100155.1575
60,10,6,0.03556,100273.695
60,10,7,0.04445,100375.065
60,10,8,0.05334,100493.6025
60,10,9,0.06223,100584.345
60,10,10,0.07112,101013.5325
60,10,11,0.004445,100939.14
60,10,12,0.00889,100865.565
60,10,13,0.01778,100824.69
60,10,14,0.02667,100783.815
60,10,15,0.03556,100769.9175
60,10,16,0.04445,100739.67
60,10,17,0.05334,100709.4225
60,10,18,0.06223,99476.6325
60,15,1,0,99489.7125
60,15,2,0.004445,99770.115
60,15,3,0.00889,100277.7825
60,15,4,0.01778,100403.6775
60,15,5,0.02667,100399.59
60,15,6,0.03556,100403.6775
60,15,7,0.04445,100393.05
60,15,8,0.05334,100386.51
60,15,9,0.06223,100373.43
60,15,10,0.07112,101051.955
60,15,11,0.004445,100975.11
60,15,12,0.00889,100893.36
60,15,13,0.01778,100829.595
60,15,14,0.02667,100785.45
60,15,15,0.03556,100751.9325
60,15,16,0.04445,100711.0575
60,15,17,0.05334,100666.9125
60,15,18,0.06223,99797.91
60,20,1,0,100490.3325
60,20,2,0.004445,100264.7025
60,20,3,0.00889,100274.5125
60,20,4,0.01778,100274.5125
60,20,5,0.02667,100274.5125
60,20,6,0.03556,100263.885
60,20,7,0.04445,100244.265
60,20,8,0.05334,100260.615
60,20,9,0.06223,100257.345
60,20,10,0.07112,100940.775
60,20,11,0.004445,100869.6525
60,20,12,0.00889,100785.45
60,20,13,0.01778,100744.575
60,20,14,0.02667,100666.9125
